ix,iy,count
-1408270,773791,1
-1408269,770187,1
-1408269,770275,1
-1408269,771294,1
-1408269,771309,1
-1408269,771323,1
-1408269,771327,1
-1408269,771328,1
-1408269,771339,1
-1408269,771345,1
-1408269,771348,1
-1408269,771367,1
-1408269,771401,1
-1408269,771448,1
-1408269,771470,1
-1408269,771480,1
-1408269,771485,1
-1408269,771848,1
-1408269,772130,23
-1408269,772350,1
-1408269,772358,1
-1408269,773077,1
-1408268,770193,1
-1408268,770281,1
-1408268,771076,1
-1408268,771288,1
-1408268,771302,1
-1408268,771341,1
-1408268,771365,1
-1408268,771377,1
-1408268,771394,1
-1408268,771479,1
-1408268,771482,1
-1408268,771817,1
-1408268,771922,1
-1408268,772354,2
-1408268,772360,1
-1408268,772664,1
-1408268,772672,1
-1408268,772963,1
-1408268,773074,1
-1408268,773078,1
-1408268,773164,1
-1408268,773341,1
-1408267,770007,1
-1408267,771286,1
-1408267,771316,2
-1408267,771318,1
-1408267,771325,7
-1408267,771363,1
-1408267,771472,1
-1408267,771478,12
-1408267,771479,1
-1408267,771485,2
-1408267,771577,1
-1408267,771793,1
-1408267,772313,1
-1408267,772353,1
-1408267,772357,1
-1408267,772360,1
-1408267,772366,2
-1408267,772670,1
-1408267,772979,1
-1408266,770007,1
-1408266,770276,1
-1408266,771288,1
-1408266,771302,8
-1408266,771312,1
-1408266,771317,1
-1408266,771319,1
-1408266,771328,1
-1408266,771340,23
-1408266,771352,1
-1408266,771353,1
-1408266,771355,1
-1408266,771812,2
-1408266,772669,4
-1408266,772671,1
-1408266,772689,1
-1408266,772890,1
-1408266,773078,1
-1408265,770056,1
-1408265,770860,1
-1408265,771310,1
-1408265,771315,1
-1408265,771318,1
-1408265,771320,1
-1408265,771328,1
-1408265,771338,1
-1408265,771351,1
-1408265,771353,1
-1408265,771467,1
-1408265,771498,1
-1408265,771782,1
-1408265,772119,1
-1408265,772349,1
-1408265,772712,1
-1408264,770007,1
-1408264,771087,1
-1408264,771278,1
-1408264,771285,1
-1408264,771299,1
-1408264,771309,1
-1408264,771310,1
-1408264,771311,1
-1408264,771341,1
-1408264,771370,1
-1408264,771793,1
-1408264,771801,1
-1408264,772116,1
-1408264,772119,1
-1408264,772120,1
-1408264,772122,1
-1408264,772362,1
-1408264,772679,2
-1408264,772681,1
-1408264,772881,1
-1408264,772887,1
-1408264,773060,1
-1408264,773751,1
-1408263,770281,1
-1408263,771300,1
-1408263,771305,1
-1408263,771307,1
-1408263,771315,1
-1408263,771323,1
-1408263,771325,1
-1408263,771335,1
-1408263,771476,1
-1408263,771503,6
-1408263,771785,1
-1408263,771793,1
-1408263,772360,1
-1408263,772879,1
-1408263,772994,1
-1408263,773066,1
-1408263,773081,1
-1408262,770287,1
-1408262,771303,1
-1408262,771313,1
-1408262,771334,1
-1408262,771349,1
-1408262,771374,1
-1408262,771455,1
-1408262,771459,1
-1408262,771471,1
-1408262,771483,10
-1408262,771504,1
-1408262,771819,1
-1408262,772666,1
-1408262,772670,1
-1408262,772679,2
-1408262,772983,1
-1408262,773793,1
-1408261,769998,1
-1408261,770058,1
-1408261,770202,1
-1408261,770895,1
-1408261,770903,1
-1408261,770972,1
-1408261,771322,1
-1408261,771334,1
-1408261,771335,1
-1408261,771356,1
-1408261,771362,1
-1408261,771461,1
-1408261,771484,1
-1408261,771488,1
-1408261,772716,1
-1408260,770009,1
-1408260,770381,1
-1408260,771298,1
-1408260,771300,1
-1408260,771309,1
-1408260,771320,1
-1408260,771357,1
-1408260,771469,1
-1408260,771481,1
-1408260,772168,2
-1408260,772388,1
-1408260,772672,1
-1408260,772676,1
-1408260,772948,1
-1408260,772973,1
-1408260,772975,1
-1408260,772978,1
-1408260,773048,1
-1408259,771281,1
-1408259,771294,1
-1408259,771307,1
-1408259,771309,1
-1408259,771315,1
-1408259,771322,1
-1408259,771341,1
-1408259,771343,1
-1408259,771344,1
-1408259,771352,1
-1408259,771354,1
-1408259,771463,1
-1408259,771548,1
-1408259,771783,1
-1408259,773087,1
-1408258,770216,1
-1408258,771286,1
-1408258,771294,1
-1408258,771302,1
-1408258,771334,1
-1408258,771340,8
-1408258,771345,1
-1408258,771354,1
-1408258,771483,1
-1408258,772359,1
-1408258,772362,1
-1408258,772545,1
-1408258,772678,1
-1408258,772681,1
-1408258,773073,2
-1408258,773074,1
-1408258,773083,1
-1408257,771320,9
-1408257,771345,1
-1408257,771356,1
-1408257,771483,1
-1408257,771514,2
-1408257,772676,1
-1408257,772686,1
-1408257,773057,1
-1408257,773061,1
-1408256,770004,1
-1408256,770010,1
-1408256,771295,1
-1408256,771302,1
-1408256,771323,1
-1408256,771330,1
-1408256,771459,1
-1408256,772301,1
-1408256,772672,1
-1408256,772678,2
-1408255,771302,1
-1408255,771310,1
-1408255,771316,1
-1408255,771321,1
-1408255,771332,1
-1408255,771339,1
-1408255,771359,1
-1408255,772391,1
-1408255,772680,1
-1408255,772683,1
-1408255,772693,1
-1408254,770201,1
-1408254,770394,1
-1408254,770657,1
-1408254,771059,1
-1408254,771320,1
-1408254,771331,1
-1408254,771335,1
-1408254,771361,1
-1408254,771488,2
-1408254,771497,1
-1408254,771591,1
-1408254,771621,1
-1408254,772363,1
-1408254,772364,1
-1408254,772688,1
-1408254,772693,1
-1408254,772707,1
-1408254,772921,1
-1408253,770015,2
-1408253,771305,1
-1408253,771313,1
-1408253,771315,1
-1408253,771322,2
-1408253,771331,1
-1408253,771333,1
-1408253,771334,1
-1408253,771336,1
-1408253,771338,1
-1408253,771355,1
-1408253,771357,1
-1408253,771368,1
-1408253,771490,1
-1408253,771491,1
-1408253,771503,3
-1408253,771820,1
-1408253,772682,1
-1408253,772688,1
-1408253,773187,1
-1408253,773374,3
-1408252,770015,2
-1408252,771334,1
-1408252,771337,1
-1408252,771472,1
-1408252,771487,1
-1408252,771499,1
-1408252,771501,1
-1408252,771506,1
-1408252,772682,1
-1408252,772684,1
-1408252,772968,1
-1408252,772977,1
-1408251,771318,1
-1408251,771326,1
-1408251,771342,1
-1408251,771353,1
-1408251,772253,1
