ix,iy,count,n_genera,n_observers,n_captive,last_observed,median_last10_observed
-1408638,770222,1,1,1,0,2016-05-07,2016-05-07
-1408619,770593,1,1,1,0,2019-04-06,2019-04-06
-1408612,771767,1,1,1,0,2018-10-09,2018-10-09
-1408593,771740,1,1,1,0,2018-09-11,2018-09-11
-1408589,772739,1,1,1,1,2016-06-01,2016-06-01
-1408578,769916,1,1,1,0,2016-07-16,2016-07-16
-1408573,771189,1,1,1,0,2017-08-07,2017-08-07
-1408557,771943,1,1,1,1,2018-01-29,2018-01-29
-1408556,774382,1,1,1,0,2019-06-10,2019-06-10
-1408555,772780,1,1,1,1,2018-06-13,2018-06-13
-1408548,770645,1,1,1,0,2016-05-20,2016-05-20
-1408547,773116,1,1,1,1,2019-04-16,2019-04-16
-1408543,772308,1,1,1,0,2018-04-11,2018-04-11
-1408539,770507,1,1,1,1,2016-05-18,2016-05-18
-1408537,771307,1,1,1,0,2016-05-20,2016-05-20
-1408484,773335,1,1,1,0,2017-04-20,2017-04-20
-1408478,771137,1,1,1,0,2016-07-18,2016-07-18
-1408471,772588,1,1,1,1,2018-09-30,2018-09-30
-1408463,772064,1,1,1,1,2019-04-28,2019-04-28
-1408462,774087,1,1,1,0,2019-04-17,2019-04-17
-1408455,773790,1,1,1,0,2019-05-23,2019-05-23
-1408449,770599,1,1,1,0,2016-05-20,2016-05-20
-1408435,773436,1,1,1,0,2016-09-01,2016-09-01
-1408432,772542,1,1,1,1,2017-04-21,2017-04-21
-1408410,770447,1,1,1,0,2016-05-20,2016-05-20
-1408402,773842,1,1,1,1,2016-06-03,2016-06-03
-1408396,772721,1,1,1,1,2016-05-20,2016-05-20
-1408395,772735,1,1,1,0,2019-06-25,2019-06-25
-1408391,771516,1,1,1,0,2018-09-11,2018-09-11
-1408387,772811,1,1,1,1,2017-08-01,2017-08-01
-1408383,769877,1,1,1,0,2018-08-31,2018-08-31
-1408379,770790,1,1,1,0,2016-07-18,2016-07-18
-1408373,773211,1,1,1,0,2019-03-27,2019-03-27
-1408367,771366,1,1,1,0,2016-06-04,2016-06-04
-1408345,773189,1,1,1,0,2016-07-18,2016-07-18
-1408343,771782,1,1,1,1,2019-07-23,2019-07-23
-1408331,773733,1,1,1,0,2019-04-17,2019-04-17
-1408330,771372,1,1,1,1,2019-01-18,2019-01-18
